russian,polish,type,tense,aspect,subject,preposition
,,,,,,
пришел,przyszedłem,action/walking,past,perfective,i,inside
пришел,przyszedłeś,action/walking,past,perfective,you,inside
пришел,przyszedł,action/walking,past,perfective,he,inside
пришла,przyszła,action/walking,past,perfective,she,inside
пришло,przyszło,action/walking,past,perfective,it,inside
пришли,przyszliśmy,action/walking,past,perfective,we/m,inside
пришли,przyszłyśmy,action/walking,past,perfective,we/f,inside
пришли,przyszliście,action/walking,past,perfective,you/m,inside
пришли,przyszłyście,action/walking,past,perfective,you/f,inside
пришли,przyszli,action/walking,past,perfective,they/m,inside
пришли,przyszły,action/walking,past,perfective,they/f,inside
,,,,,,
приходил,przychodziłem,action/walking,past,imperfective,i,inside
приходил,przychodziłeś,action/walking,past,imperfective,you,inside
приходил,przychodził,action/walking,past,imperfective,he,inside
приходила,przychodziła,action/walking,past,imperfective,she,inside
приходило,przychodziło,action/walking,past,imperfective,it,inside
приходили,przychodziliśmy,action/walking,past,imperfective,we/m,inside
приходили,przychodziłyśmy,action/walking,past,imperfective,we/f,inside
приходили,przychodziliście,action/walking,past,imperfective,you/m,inside
приходили,przychodziłyście,action/walking,past,imperfective,you/f,inside
приходили,przychodzili,action/walking,past,imperfective,they/m,inside
приходили,przychodziły,action/walking,past,imperfective,they/f,inside
,,,,,,
прихожу,przychodzę,action/walking,present,imperfective,i,inside
приходишь,przychodzisz,action/walking,present,imperfective,you,inside
приходит,przychodzi,action/walking,present,imperfective,he,inside
приходит,przychodzi,action/walking,present,imperfective,she,inside
приходит,przychodzi,action/walking,present,imperfective,it,inside
приходим,przychodzimy,action/walking,present,imperfective,we/m,inside
приходим,przychodzimy,action/walking,present,imperfective,we/f,inside
приходите,przychodzicie,action/walking,present,imperfective,you/m,inside
приходите,przychodzicie,action/walking,present,imperfective,you/f,inside
приходят,przychodzą,action/walking,present,imperfective,they/m,inside
приходят,przychodzą,action/walking,present,imperfective,they/f,inside
,,,,,,
приду,przyjdę,action/walking,future,perfective,i,inside
придешь,przyjdziesz,action/walking,future,perfective,you,inside
придет,przyjdzie,action/walking,future,perfective,he,inside
придет,przyjdzie,action/walking,future,perfective,she,inside
придет,przyjdzie,action/walking,future,perfective,it,inside
придем,przyjdziemy,action/walking,future,perfective,we/m,inside
придем,przyjdziemy,action/walking,future,perfective,we/f,inside
придете,przyjdziecie,action/walking,future,perfective,you/m,inside
придете,przyjdziecie,action/walking,future,perfective,you/f,inside
придут,przyjdą,action/walking,future,perfective,they/m,inside
придут,przyjdą,action/walking,future,perfective,they/f,inside
,,,,,,
вошел,wszedłem,action/walking,past,perfective,i,inside
вошел,wszedłeś,action/walking,past,perfective,you,inside
вошел,wszedł,action/walking,past,perfective,he,inside
вошла,weszła,action/walking,past,perfective,she,inside
вошло,weszło,action/walking,past,perfective,it,inside
вошли,weszliśmy,action/walking,past,perfective,we/m,inside
вошли,weszłyśmy,action/walking,past,perfective,we/f,inside
вошли,weszliście,action/walking,past,perfective,you/m,inside
вошли,weszłyście,action/walking,past,perfective,you/f,inside
вошли,weszli,action/walking,past,perfective,they/m,inside
вошли,weszły,action/walking,past,perfective,they/f,inside
,,,,,,
прибежал,przybiegłem,action/walking,past,perfective,i,inside
прибежал,przybiegłeś,action/walking,past,perfective,you,inside
прибежал,przybiegł,action/walking,past,perfective,he,inside
прибежала,przybiegła,action/walking,past,perfective,she,inside
прибежало,przybiegło,action/walking,past,perfective,it,inside
прибежали,przybiegliśmy,action/walking,past,perfective,we/m,inside
прибежали,przybiegłyśmy,action/walking,past,perfective,we/f,inside
прибежали,przybiegliście,action/walking,past,perfective,you/m,inside
прибежали,przybiegłyście,action/walking,past,perfective,you/f,inside
прибежали,przybiegli,action/walking,past,perfective,they/m,inside
прибежали,przybiegły,action/walking,past,perfective,they/f,inside
,,,,,,
приехал,przyjechałem,action/walking,past,perfective,i,inside
приехал,przyjechałeś,action/walking,past,perfective,you,inside
приехал,przyjechał,action/walking,past,perfective,he,inside
приехала,przyjechała,action/walking,past,perfective,she,inside
приехало,przyjechało,action/walking,past,perfective,it,inside
приехали,przyjechaliśmy,action/walking,past,perfective,we/m,inside
приехали,przyjechałyśmy,action/walking,past,perfective,we/f,inside
приехали,przyjechaliście,action/walking,past,perfective,you/m,inside
приехали,przyjechałyście,action/walking,past,perfective,you/f,inside
приехали,przyjechali,action/walking,past,perfective,they/m,inside
приехали,przyjechały,action/walking,past,perfective,they/f,inside
,,,,,,
прилетел,przyleciałem,action/walking,past,perfective,i,inside
прилетел,przyleciałeś,action/walking,past,perfective,you,inside
прилетел,przyleciał,action/walking,past,perfective,he,inside
прилетела,przyleciała,action/walking,past,perfective,she,inside
прилетело,przyleciało,action/walking,past,perfective,it,inside
прилетели,przylecieliśmy,action/walking,past,perfective,we/m,inside
прилетели,przyleciałyśmy,action/walking,past,perfective,we/f,inside
прилетели,przylecieliście,action/walking,past,perfective,you/m,inside
прилетели,przyleciałyście,action/walking,past,perfective,you/f,inside
прилетели,przylecieli,action/walking,past,perfective,they/m,inside
прилетели,przyleciały,action/walking,past,perfective,they/f,inside
,,,,,,
опоздал,spóżniłem się,action/walking,past,perfective,i,inside
опоздал,spóżniłeś się,action/walking,past,perfective,you,inside
опоздал,spóżnił się,action/walking,past,perfective,he,inside
опоздала,spóżniła się,action/walking,past,perfective,she,inside
опоздало,spóżniło się,action/walking,past,perfective,it,inside
опоздали,spóżniliśmy się,action/walking,past,perfective,we/m,inside
опоздали,spóżniłyśmy się,action/walking,past,perfective,we/f,inside
опоздали,spóżniliście się,action/walking,past,perfective,you/m,inside
опоздали,spóżniłyście się,action/walking,past,perfective,you/f,inside
опоздали,spóżnili się,action/walking,past,perfective,they/m,inside
опоздали,spóżniły się,action/walking,past,perfective,they/f,inside
,,,,,,
вышел,wyszedłem,action/walking,past,perfective,i,from-inside
вышел,wyszedłeś,action/walking,past,perfective,you,from-inside
вышел,wyszedł,action/walking,past,perfective,he,from-inside
вышла,wyszła,action/walking,past,perfective,she,from-inside
вышло,wyszło,action/walking,past,perfective,it,from-inside
вышли,wyszliśmy,action/walking,past,perfective,we/m,from-inside
вышли,wyszłyśmy,action/walking,past,perfective,we/f,from-inside
вышли,wyszliście,action/walking,past,perfective,you/m,from-inside
вышли,wyszłyście,action/walking,past,perfective,you/f,from-inside
вышли,wyszli,action/walking,past,perfective,they/m,from-inside
вышли,wyszły,action/walking,past,perfective,they/f,from-inside
,,,,,,
убежал,uciekłem,action/walking,past,perfective,i,from-inside
убежал,uciekłeś,action/walking,past,perfective,you,from-inside
убежал,uciekł,action/walking,past,perfective,he,from-inside
убежала,uciekła,action/walking,past,perfective,she,from-inside
убежало,uciekło,action/walking,past,perfective,it,from-inside
убежали,uciekliśmy,action/walking,past,perfective,we/m,from-inside
убежали,uciekłyśmy,action/walking,past,perfective,we/f,from-inside
убежали,uciekliście,action/walking,past,perfective,you/m,from-inside
убежали,uciekłyście,action/walking,past,perfective,you/f,from-inside
убежали,uciekli,action/walking,past,perfective,they/m,from-inside
убежали,uciekły,action/walking,past,perfective,they/f,from-inside
,,,,,,
вернулся,wróciłem,action/walking,past,perfective,i,inside
