russian,polish,type,preposition

магазин,sklep,place,place
в магазин,do sklepu,place,inside
из магазина,ze sklepu,place,from-inside
к магазину,do sklepu,place,close-to
до магазина,do sklepu,place,up-to
от магазина,od sklupu,place,from-outside

кафе,kawiarnię,place,place
в кафе,do kawiarni,place,inside
из кафе,z kawiarni,place,from-inside
к кафе,do kawiarni,place,close-to
до кафе,do kawiarni,place,up-to
от кафе,od kawiarni,place,from-outside

работу,pracę,place,place
на работу,do pracy,place,inside
с работы,z pracy,place,from-inside
к работе,do pracy,place,close-to
до работы,do pracy,place,up-to
от работы,od pracy,place,from-outside

вокзал,dworzec,place,place
на вокзал,do dworca,place,inside
с вокзала,z dworca,place,from-inside
к вокзалу,do dworca,place,close-to
до вокзала,do dworca,place,up-to
от вокзала,od dworca,place,from-outside

офис,biuro,place,place
в офис,do biura,place,inside
из офиса,z biura,place,from-inside
к офису,do biura,place,close-to
до офиса,do biura,place,up-to
от офиса,ob biura,place,from-outside
